Date,Credit_Type,Price,Volume
2023-01-01,CET,3.3,2000.0
2023-01-02,GNA,3.05,2000.0
2023-01-03,CET,3.0,2000.0
2023-01-04,CET,2.85,5000.0
2023-01-05,CET,2.8,2000.0
2023-01-06,CET,2.75,1000.0
2023-01-07,CET,2.85,1000.0
2023-01-08,CET,2.85,3000.0
2023-01-09,CET,2.85,2000.0
2023-01-10,CET,2.75,1000.0
2023-01-11,CET,2.6,4000.0
2023-01-12,BCC,1.23,1000.0
2023-01-13,RET,1.9,80400.0
2023-01-14,CET,2.6,1000.0
2023-01-15,CET,2.6,3000.0
2023-01-16,FCC,3.9,1000.0
2023-01-17,CET,2.75,2000.0
2023-01-18,CET,2.85,1000.0
2023-01-19,CET,3.0,1000.0
2023-01-20,CET,3.05,1000.0
2023-01-21,GN7,9.7,20000.0
2023-01-22,GN7,6.75,25000.0
2023-01-23,CET,3.1,1000.0
2023-01-24,CET,3.1,1000.0
2023-01-25,CCC,75.48,100.0
2023-01-26,CET,3.55,20000.0
2023-01-27,CET,3.6,31313.0
2023-01-28,GN7,6.75,1000.0
2023-01-29,CET,3.1,1000.0
2023-01-30,CET,3.2,1000.0
2023-01-31,GN6,6.75,1000.0
2023-02-01,CET,3.4,8000.0
2023-02-02,CET,3.15,1000.0
2023-02-03,CET,3.25,1000.0
2023-02-04,CET,3.35,1000.0
2023-02-05,GN7,6.9,1000.0
2023-02-06,BCC,1.75,1000.0
2023-02-07,GN7,7.1,1000.0
2023-02-08,CET,3.15,3000.0
2023-02-09,CET,3.2,1000.0
2023-02-10,CET,3.3,1000.0
2023-02-11,GNA,5.75,2000.0
2023-02-12,GN7,7.25,10000.0
2023-02-13,GN7,7.25,1000.0
2023-02-14,GN6,7.2,4000.0
2023-02-15,GN7,7.45,5000.0
2023-02-16,BCC,1.7,1000.0
2023-02-17,CCC,80.47,100.0
2023-02-18,GNA,5.9,2000.0
2023-02-19,RET,1.55,1000.0
2023-02-20,CCC,71.96,100.0
2023-02-21,CCC,66.51,100.0
2023-02-22,FCC,6.06,1000.0
2023-02-23,RET,1.55,1000.0
2023-02-24,CET,3.25,1000.0
2023-02-25,GER,4.6,1000.0
2023-02-26,CET,3.5,1000.0
2023-02-27,CET,3.5,2000.0
2023-02-28,PCC,3.8,460.0
2023-03-01,CET,3.5,2000.0
2023-03-02,CET,3.75,1000.0
2023-03-03,CET,4.15,40000.0
2023-03-04,CET,3.85,2000.0
2023-03-05,PCC,4.0,1000.0
2023-03-06,BCC,3.0,1000.0
2023-03-07,BCC,3.1,1000.0
2023-03-08,BCC,2.75,1000.0
2023-03-09,GER,5.85,1000.0
2023-03-10,GER,5.95,2000.0
2023-03-11,GER,6.05,1000.0
2023-03-12,CCC,65.9,50.0
2023-03-13,CET,3.85,1000.0
2023-03-14,CET,3.95,2000.0
2023-03-15,PCC,4.25,440.0
2023-03-16,XCT,3.2,3899.0
2023-03-17,FCC,8.3,1000.0
2023-03-18,FCC,8.7,1000.0
2023-03-19,FCC,8.7,999.0
2023-03-20,FCC,8.7,1.0
2023-03-21,FCC,8.9,1000.0
2023-03-22,CET,4.2,3000.0
2023-03-23,CET,4.2,3000.0
2023-03-24,CET,4.05,1000.0
2023-03-25,CET,4.05,1000.0
2023-03-26,PCC,4.5,1000.0
2023-03-27,XCT,10.9,30000.0
2023-03-28,PCC,4.8,1000.0
2023-03-29,CET,4.1,1000.0
2023-03-30,RET,1.95,1000.0
